1706.9249,-5003.7651,3799.4341,-2571.9375,-3011.1025,-2309.7461,-2704.1409,-7313.5112,1095.2932
1706.9399,-5042.3442,3754.2673,-2571.9377,-3011.1025,-2271.1670,-2658.9741,-7313.5112,1095.2932
1706.9550,-5080.9238,3709.1008,-2571.9375,-3011.1023,-2232.5874,-2613.8076,-7313.5112,1095.2932
1706.9700,-5119.5029,3663.9341,-2571.9375,-3011.1025,-2194.0083,-2568.6409,-7313.5112,1095.2932
1706.9850,-5158.0815,3618.7676,-2571.9375,-3011.1025,-2155.4297,-2523.4744,-7313.5112,1095.2932
1707.0000,-5196.6606,3573.6008,-2571.9375,-3011.1023,-2116.8506,-2478.3076,-7313.5112,1095.2932
1707.0150,-5235.2397,3528.4343,-2571.9377,-3011.1023,-2078.2715,-2433.1411,-7313.5112,1095.2932
1707.0299,-5273.8184,3483.2676,-2571.9380,-3011.1025,-2039.6929,-2387.9744,-7313.5112,1095.2932
1707.0449,-5312.3975,3438.1011,-2571.9377,-3011.1023,-2001.1138,-2342.8079,-7313.5112,1095.2932
1707.0599,-5350.9761,3392.9346,-2571.9380,-3011.1023,-1962.5352,-2297.6414,-7313.5112,1095.2932
1707.0750,-5389.5552,3347.7678,-2571.9380,-3011.1016,-1923.9561,-2252.4746,-7313.5112,1095.2932
1707.0900,-5428.1338,3302.6013,-2571.9382,-3011.1016,-1885.3774,-2207.3081,-7313.5112,1095.2932
1707.1050,-5466.7129,3257.4346,-2571.9387,-3011.1016,-1846.7983,-2162.1414,-7313.5112,1095.2932
1707.1200,-5505.2920,3212.2681,-2571.9390,-3011.1016,-1808.2192,-2116.9749,-7313.5112,1095.2932
1707.1350,-5543.8706,3167.1013,-2571.9387,-3011.1013,-1769.6406,-2071.8081,-7313.5112,1095.2932
1707.1499,-5582.4497,3121.9348,-2571.9390,-3011.1011,-1731.0615,-2026.6416,-7313.5112,1095.2932
1707.1649,-5621.0283,3076.7681,-2571.9392,-3011.1006,-1692.4829,-1981.4749,-7313.5112,1095.2932
1707.1799,-5659.6074,3031.6016,-2571.9395,-3011.1006,-1653.9038,-1936.3083,-7313.5112,1095.2932
1707.1949,-5698.1865,2986.4348,-2571.9397,-3011.1006,-1615.3247,-1891.1416,-7313.5112,1095.2932
1707.2100,-5736.7651,2941.2683,-2571.9397,-3011.1001,-1576.7461,-1845.9751,-7313.5112,1095.2932
1707.2250,-5775.3442,2896.1016,-2571.9402,-3011.1001,-1538.1670,-1800.8083,-7313.5112,1095.2932
1707.2400,-5813.9229,2850.9351,-2571.9404,-3011.0999,-1499.5884,-1755.6418,-7313.5112,1095.2932
1707.2550,-5852.5020,2805.7683,-2571.9407,-3011.0994,-1461.0093,-1710.4751,-7313.5112,1095.2932
1707.2700,-5891.0811,2760.6018,-2571.9409,-3011.0994,-1422.4302,-1665.3086,-7313.5112,1095.2932
1707.2849,-5929.6597,2715.4353,-2571.9409,-3011.0991,-1383.8516,-1620.1421,-7313.5112,1095.2932
1707.2999,-5968.2388,2670.2686,-2571.9417,-3011.0991,-1345.2725,-1574.9753,-7313.5112,1095.2932
1707.3149,-6006.8174,2625.1021,-2571.9419,-3011.0989,-1306.6938,-1529.8088,-7313.5112,1095.2932
1707.3300,-6045.3965,2579.9353,-2571.9421,-3011.0986,-1268.1147,-1484.6421,-7313.5112,1095.2932
1707.3450,-6083.9756,2534.7688,-2571.9421,-3011.0984,-1229.5356,-1439.4756,-7313.5112,1095.2932
1707.3600,-6122.5542,2489.6021,-2571.9429,-3011.0984,-1190.9570,-1394.3088,-7313.5112,1095.2932
1707.3750,-6161.1333,2444.4358,-2571.9392,-3011.0928,-1152.3779,-1349.1426,-7313.5112,1095.2932
1707.3900,-6199.6172,2399.3804,-2565.4119,-3003.4509,-1113.8940,-1304.0872,-7313.5112,1095.2932
1707.4049,-6238.1968,2354.2139,-2571.9441,-3011.0972,-1075.3145,-1258.9207,-7313.5112,1095.2932
1707.4199,-6276.7754,2309.0474,-2571.9441,-3011.0967,-1036.7358,-1213.7542,-7313.5112,1095.2932
1707.4349,-6315.3545,2263.8809,-2571.9446,-3011.0964,-998.1567,-1168.5876,-7313.5112,1095.2932
1707.4500,-6353.9336,2218.7144,-2571.9448,-3011.0959,-959.5776,-1123.4211,-7313.5112,1095.2932
1707.4650,-6392.5122,2173.5481,-2571.9453,-3011.0955,-920.9990,-1078.2549,-7313.5112,1095.2932
1707.4800,-6431.0913,2128.3816,-2571.9458,-3011.0952,-882.4199,-1033.0884,-7313.5112,1095.2932
1707.4950,-6469.6699,2083.2151,-2571.9460,-3011.0950,-843.8413,-987.9219,-7313.5112,1095.2932
1707.5100,-6508.2490,2038.0486,-2571.9468,-3011.0945,-805.2622,-942.7554,-7313.5112,1095.2932
1707.5249,-6546.8281,1992.8821,-2571.9475,-3011.0940,-766.6831,-897.5889,-7313.5112,1095.2932
1707.5399,-6585.4072,1947.7157,-2571.9480,-3011.0935,-728.1040,-852.4225,-7313.5112,1095.2932
1707.5549,-6623.9868,1902.5493,-2571.9485,-3011.0933,-689.5244,-807.2561,-7313.5112,1095.2932
1707.5699,-6662.5664,1857.3828,-2571.9487,-3011.0928,-650.9448,-762.0896,-7313.5112,1095.2932
1707.5850,-6701.1460,1812.2166,-2571.9487,-3011.0928,-612.3652,-716.9233,-7313.5112,1095.2932
1707.6000,-6739.7256,1767.0503,-2571.9482,-3011.0928,-573.7856,-671.7571,-7313.5112,1095.2932
1707.6150,-6778.3052,1721.8838,-2571.9480,-3011.0935,-535.2061,-626.5906,-7313.5112,1095.2932
1707.6300,-6816.8843,1676.7173,-2571.9473,-3011.0938,-496.6270,-581.4241,-7313.5112,1095.2932
